-2.12113685e+00  3.88732623e+01  7.63999741e+00 
-3.28761169e+00  3.20682215e+01  1.96697470e+00 
-4.34743731e+00  6.30095358e+01  2.33380063e+00 
-5.33581324e+00  4.55564650e+01  6.00106085e-01 
-5.63133989e+00  5.78876916e+01  8.25419773e-01 
-6.06187494e+00  5.75741042e+01  5.66798855e-01 
-6.61350861e+00  6.73123226e+01  5.38972040e-01 
-7.87418073e+00  9.44556400e+01  5.23411176e-01 
-8.40338509e+00  9.60899003e+01  3.60721390e-01 
-9.37713620e+00  1.15033324e+02  3.08227340e-01 
-1.02033714e+01  1.28442058e+02  2.33729256e-01 
-1.02859324e+01  1.32433866e+02  2.51733074e-01 
-1.17610114e+01  1.57299378e+02  1.37202129e-01 
-1.25011553e+01  1.74807847e+02  1.18563450e-01 
-1.27395328e+01  1.78680108e+02  1.00954070e-01 
-1.33069615e+01  1.94811732e+02  1.00163683e-01 
-1.36867634e+01  2.00905973e+02  7.24852461e-02 
-1.41922759e+01  2.25259529e+02  1.18353449e-01 
-1.53478202e+01  2.48606269e+02  5.54038427e-02 
-1.49760455e+01  2.39278260e+02  6.68636987e-02 
