00000  acc_hop acc_ex  n_hop    n_ex     : Mon Sep 30 20:45:46 2013
00001  0.37563 0.31575 1970     4494     : Mon Sep 30 20:45:46 2013
00002  0.36002 0.29874 1811     4365     : Mon Sep 30 20:45:47 2013
00003  0.36416 0.30541 1903     4273     : Mon Sep 30 20:45:48 2013
00004  0.35534 0.30744 1863     4313     : Mon Sep 30 20:45:48 2013
00005  0.36598 0.31303 1940     4236     : Mon Sep 30 20:45:49 2013
00006  0.35223 0.29823 1817     4359     : Mon Sep 30 20:45:49 2013
00007  0.38285 0.29367 1831     4345     : Mon Sep 30 20:45:50 2013
00008  0.37037 0.30323 1836     4340     : Mon Sep 30 20:45:50 2013
00009  0.34628 0.29347 1828     4348     : Mon Sep 30 20:45:51 2013
00010  0.37892 0.30009 1784     4392     : Mon Sep 30 20:45:52 2013
00011  0.35766 0.30547 1809     4367     : Mon Sep 30 20:45:52 2013
00012  0.38319 0.30335 1785     4391     : Mon Sep 30 20:45:53 2013
00013  0.36040 0.29101 1884     4292     : Mon Sep 30 20:45:53 2013
00014  0.38162 0.30398 1850     4326     : Mon Sep 30 20:45:54 2013
00015  0.36251 0.29085 1782     4394     : Mon Sep 30 20:45:54 2013
00016  0.34554 0.29543 1884     4292     : Mon Sep 30 20:45:55 2013
00017  0.35993 0.28357 1842     4334     : Mon Sep 30 20:45:55 2013
00018  0.37604 0.30711 1803     4373     : Mon Sep 30 20:45:56 2013
00019  0.38143 0.31438 1885     4291     : Mon Sep 30 20:45:57 2013
00020  0.37807 0.31119 1870     4306     : Mon Sep 30 20:45:57 2013
