#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
  268   262     0     6  4.38973e+00  0.00000e+00  1.07320e-01    34
  268   262     0     6  3.99650e+00  0.00000e+00 -1.01848e-01   180
  268   262     0     6  4.16493e+00  0.00000e+00 -9.34733e-02    48
  268   262     0     6  5.36759e+00  0.00000e+00  1.07839e-01   149
  268   262     0     6  4.20822e+00  0.00000e+00  1.24551e-01    54
  268   262     0     6  4.78776e+00  0.00000e+00 -8.74424e-02   212
  268   262     0     6  4.14931e+00  0.00000e+00  8.73485e-02    45
  268   262     0     6  5.59364e+00  0.00000e+00 -9.54266e-02    19
  268   262     0     6  5.49715e+00  0.00000e+00 -1.13117e-01   185
  268   262     0     6  4.31673e+00  0.00000e+00 -9.95472e-02    62
  268   262     0     6  4.19792e+00  0.00000e+00  7.83589e-02    74
  268   262     0     6  3.94000e+00  0.00000e+00  9.21258e-02   120
  268   262     0     6  4.93617e+00  0.00000e+00  1.26387e-01    54
  268   262     0     6  5.86415e+00  0.00000e+00  8.91883e-02   255
  268   262     0     6  4.29937e+00  0.00000e+00  1.13674e-01    54
  268   262     0     6  4.91623e+00  0.00000e+00  7.29305e-02   203
  268   262     0     6  5.65622e+00  0.00000e+00  9.05769e-02    70
  268   262     0     6  4.28082e+00  0.00000e+00 -7.20502e-02   185
  268   262     0     6  4.46655e+00  0.00000e+00 -7.64739e-02   177
  268   262     0     6  5.51910e+00  0.00000e+00  6.69285e-02    70
