 6.10714812e+00  2.28796789e+02  5.13441310e+00 
-1.49396976e+00  2.10480617e+02  9.33036480e+01 
-8.85940366e+00  2.76882408e+02  2.52765726e+00 
-1.65248303e+01  4.80782500e+02  7.60656502e-01 
-2.38459528e+01  7.51767667e+02  3.22069491e-01 
-3.09856667e+01  1.14285960e+03  1.90340444e-01 
-3.83899096e+01  1.65954145e+03  1.26040272e-01 
-4.49410704e+01  2.19571965e+03  8.71514884e-02 
-5.17238782e+01  2.83045258e+03  5.79709016e-02 
-5.82329213e+01  3.54247962e+03  4.46485517e-02 
-6.45215317e+01  4.32025533e+03  3.77675272e-02 
-7.02167133e+01  5.06847359e+03  2.80072863e-02 
-7.60381838e+01  5.90794736e+03  2.18170559e-02 
-8.13395648e+01  6.75331544e+03  2.07357991e-02 
-8.61951515e+01  7.55409202e+03  1.67556528e-02 
-9.09595395e+01  8.39574900e+03  1.47590667e-02 
-9.53383041e+01  9.19408139e+03  1.15177296e-02 
-9.93007175e+01  9.96555819e+03  1.06408672e-02 
-1.02805214e+02  1.06677739e+04  9.35403345e-03 
-1.06689454e+02  1.14768606e+04  8.27761192e-03 
