00000  acc_hop acc_ex  n_hop    n_ex     : Wed Oct 16 17:14:02 2013
00001  0.36366 0.33136 395266   897534   : Wed Oct 16 17:14:16 2013
00002  0.36402 0.33182 378912   856288   : Wed Oct 16 17:14:29 2013
00003  0.36311 0.33142 378642   856558   : Wed Oct 16 17:14:42 2013
00004  0.36494 0.33237 378408   856792   : Wed Oct 16 17:14:55 2013
00005  0.36329 0.33064 377711   857489   : Wed Oct 16 17:15:07 2013
00006  0.36335 0.33177 379453   855747   : Wed Oct 16 17:15:20 2013
00007  0.36006 0.33085 378856   856344   : Wed Oct 16 17:15:33 2013
00008  0.36743 0.33240 377785   857415   : Wed Oct 16 17:15:45 2013
00009  0.36302 0.33090 378793   856407   : Wed Oct 16 17:15:58 2013
00010  0.36314 0.33252 378789   856411   : Wed Oct 16 17:16:11 2013
00011  0.36308 0.33144 376628   858572   : Wed Oct 16 17:16:24 2013
00012  0.36321 0.33146 378291   856909   : Wed Oct 16 17:16:36 2013
00013  0.36239 0.32896 378342   856858   : Wed Oct 16 17:16:49 2013
00014  0.36218 0.33031 378611   856589   : Wed Oct 16 17:17:02 2013
00015  0.36021 0.32871 377966   857234   : Wed Oct 16 17:17:15 2013
00016  0.36098 0.32981 378114   857086   : Wed Oct 16 17:17:27 2013
00017  0.35977 0.32803 378729   856471   : Wed Oct 16 17:17:40 2013
00018  0.34795 0.31908 378629   856571   : Wed Oct 16 17:17:52 2013
00019  0.35783 0.32621 378319   856881   : Wed Oct 16 17:18:05 2013
00020  0.35642 0.32478 378861   856339   : Wed Oct 16 17:18:18 2013
